n,Xi(n),Omega(n),E(n),F(n),E_tail_upper,Omega_tail_upper_heuristic
39000,0.21013186564609054,0.6155995424129912,1.3521681738643423,-0.5264367658052606,0.0004280482447285461,0.0003641032286697356
40000,0.21013186567855233,0.6156005522517415,1.3521779616874336,-0.5264455437571398,0.0004182601855109603,0.0003551071600797086
41000,0.21013186570866796,0.6156015136171689,1.3521872940599222,-0.5264539147340854,0.0004089275934187594,0.00034654711917652325
42000,0.2101318657366582,0.6156024300424731,1.3521962024785446,-0.5264619066994133,0.0004000189701983288,0.00033839209968751976
43000,0.21013186576271842,0.6156033032708619,1.3522047155815198,-0.5264695465479394,0.0003915056762849569,0.00033061396976052205
44000,0.21013186578702212,0.6156041375883714,1.352212859466961,-0.5264768560915674,0.000383361612367917,0.00032318714623696384
45000,0.21013186580972362,0.6156049352970792,1.3522206579695377,-0.5264838568627349,0.0003755629427084606,0.00031608831225292324
46000,0.21013186583096075,0.6156056984173142,1.3522281329016526,-0.5264905686533776,0.00036808785394800136,0.0003092961715881308
47000,0.2101318658508568,0.615606429734284,1.3522353042643385,-0.5264970086791976,0.0003609163441963551,0.0003027912343009954
48000,0.21013186586952234,0.6156071309568921,1.3522421904322308,-0.5265031936058163,0.0003540300380473376,0.00029655562909638246
49000,0.21013186588705682,0.6156078035830687,1.352248808316265,-0.5265091388461395,0.00034741202387074,0.0002905729386149371
50000,0.2101318659035498,0.6156084494889597,1.3522551735071742,-0.5265148581146647,0.00034104671030651555,0.00028482805444144695
51000,0.21013186591908212,0.6156090705612772,1.3522613004023822,-0.5265203639220228,0.00033491969936318724,0.00027930704913119267
52000,0.210131865933727,0.6156096676498652,1.3522672023184985,-0.5265256687349062,0.0003290176739171566,0.00027399706296804067
53000,0.2101318659475508,0.6156102424725289,1.352272891591286,-0.5265307831712063,0.0003233282977380047,0.00026888620351250695
54000,0.2101318659606137,0.6156107963875644,1.3522783796647058,-0.5265357173165276,0.0003178401264391578,0.0002639634562851817
55000,0.21013186597297062,0.6156113301524372,1.3522836771704079,-0.5265404810450001,0.00031254252798319467,0.00025921860517114196
56000,0.21013186598467146,0.6156118450673237,1.3522887939988437,-0.5265450829468485,0.00030742561156444026,0.00025464216133267765
57000,0.21013186599576192,0.6156123421470182,1.3522937393630177,-0.5265495312202375,0.00030248016385466306,0.00025022529958755065
58000,0.21013186600628367,0.6156128219222083,1.3522985218557508,-0.5265538339272589,0.0002976975917358383,0.0002459598013535841
59000,0.21013186601627498,0.6156132857211406,1.3523031495012177,-0.5265579977638021,0.00029306987076123544,0.00024183800338208953
60000,0.21013186602577089,0.6156137342175301,1.352307629801413,-0.5265620295581119,0.00028858949868599285,0.00023785275160612005
61000,0.21013186603480363,0.6156141680316778,1.3523119697781227,-0.5265659357116413,0.00028424945349367115,0.00023399735951777723
62000,0.21013186604340284,0.6156145880744657,1.3523161760109006,-0.5265697218930321,0.00028004315541835364,0.0002302655705642491
63000,0.2101318660515958,0.6156149950730512,1.352320254671486,-0.5265733935468391,0.00027596443252461857,0.00022665152411694526
64000,0.21013186605940776,0.6156153891972144,1.3523242115550493,-0.5265769562984273,0.0002720074894617352,0.00022314972462370063
65000,0.21013186606686193,0.6156157714911176,1.3523280521085972,-0.5265804145506177,0.0002681668790550693,0.00021975501360193902
66000,0.21013186607397988,0.6156161423443977,1.3523317814568412,-0.5265837730384637,0.0002644374764380228,0.00021646254417208183
67000,0.21013186608078147,0.6156165021158975,1.3523354044257854,-0.5265870362291064,0.0002608144554628183,0.00021326775786633065
68000,0.2101318660872852,0.6156168514153472,1.352338925564267,-0.5265902080616347,0.00025729326715884395,0.00021016636347905907
69000,0.21013186609350823,0.6156171907650089,1.3523423491636541,-0.5265932923051371,0.0002538696200337568,0.00020715431775210482
70000,0.21013186609946646,0.6156175204493772,1.3523456792758832,-0.5265962927270396,0.0002505394620356574,0.00020422780771183464
71000,0.2101318661051747,0.6156178409406623,1.3523489197299963,-0.5265992126841592,0.00024729896401486947,0.00020138323449545492
72000,0.21013186611064677,0.6156181526926984,1.3523520741473232,-0.5266020553439781,0.0002441445045415745,0.00019861719852206456
73000,0.21013186611589552,0.6156184558102878,1.3523551459554346,-0.5266048240292512,0.0002410726559511105,0.0001959264858797582
74000,0.2101318661209329,0.615618750846555,1.3523581384009846,-0.5266075214334967,0.00023808017150243245,0.00019330805581397386
75000,0.21013186612577014,0.6156190381890624,1.3523610545615392,-0.5266101502467067,0.0002351639735472924,0.00019075902921450523
76000,0.21013186613041768,0.6156193179038364,1.3523638973564898,-0.5266127133222357,0.00023232114261835047,0.00018827667800937688
77000,0.21013186613488535,0.6156195904557946,1.352366669557126,-0.526615212966446,0.00022954890735384355,0.00018585841538330266
78000,0.21013186613918228,0.6156198561203833,1.35236937379595,-0.5266176515363843,0.0002268446351847859,0.0001835017867468712
79000,0.21013186614331705,0.6156201149816732,1.3523720125752914,-0.5266200314503011,0.0002242058237180779,0.0001812044613900694
80000,0.21013186614729776,0.61562036754018,1.3523745882752893,-0.5266223545878116,0.00022163009275548017,0.0001789642247603807
81000,0.21013186615113197,0.6156206139555596,1.3523771031612914,-0.5266246230545999,0.00021911517689426758,0.00017677897131158937
82000,0.21013186615482674,0.615620854282126,1.3523795593907186,-0.5266268389537659,0.00021665891866059922,0.00017464669787466616
83000,0.21013186615838875,0.6156210889167162,1.352381959019445,-0.5266290039443401,0.00021425926213130091,0.00017256549750679098
84000,0.21013186616182433,0.6156213180752005,1.3523843040077266,-0.5266311197707018,0.00021191424700392632,0.00017053355377874568
85000,0.21013186616513935,0.6156215417473673,1.3523865962257196,-0.5266331883132129,0.0002096220030786912,0.00016854913546464548
86000,0.21013186616833943,0.6156217603571771,1.352388837458619,-0.5266352109331025,0.00020738074511922265,0.00016661059160132544
87000,0.2101318661714298,0.6156219740335696,1.3523910294114494,-0.5266371892064501,0.00020518876806206642,0.0001647163468876964
88000,0.21013186617441537,0.6156221828114548,1.3523931737135335,-0.5266391247276634,0.00020304444254759486,0.0001628648973970806
89000,0.2101318661773009,0.6156223869791698,1.3523952719226648,-0.5266410187661941,0.00020094621074738707,0.00016105480657795812
90000,0.21013186618009078,0.615622586702878,1.3523973255290072,-0.5266428726460384,0.00019889258246534139,0.0001592847015207359
91000,0.2101318661827892,0.6156227819656588,1.3523993359587385,-0.5266446878102905,0.00019688213149175545,0.00015755326947011538
92000,0.2101318661854001,0.6156229730250227,1.3524013045774648,-0.526646465367042,0.000194913492191392,0.00015585925456440834
93000,0.21013186618792723,0.6156231600889879,1.3524032326934143,-0.5266482064164992,0.00019298535630816218,0.00015420145478475185
94000,0.21013186619037413,0.6156233431213649,1.352405121560432,-0.526649912248693,0.000191096469970518,0.00015257871909862166
95000,0.21013186619274418,0.6156235223456452,1.3524069723807883,-0.526651583842399,0.00018924563088296845,0.00015098994478335507
96000,0.21013186619504054,0.6156236979062164,1.3524087863078147,-0.5266532222065577,0.00018743168569033546,0.0001494340749165826
97000,0.21013186619726626,0.6156238697842018,1.3524105644483784,-0.5266548284669104,0.00018565352750245543,0.00014791009602154706
98000,0.2101318661994242,0.6156240382491589,1.3524123078652093,-0.5266564034166261,0.00018391009356802306,0.00014641703585626802
99000,0.21013186620151705,0.6156242033682603,1.352414017579087,-0.5266579480093098,0.0001822003630871784,0.00014495396133639945
100000,0.21013186620354746,0.6156243651276687,1.3524156945708985,-0.5266594632396824,0.00018052335515325777,0.00014351997658244153
101000,0.21013186620551783,0.6156245237611869,1.3524173397835768,-0.5266609498168721,0.0001788781268148797,0.00014211422108270305
102000,0.21013186620743055,0.6156246793744302,1.3524189541239262,-0.5266624085420655,0.00017726377125022106,0.00014073586796408704
103000,0.21013186620928784,0.6156248318638473,1.3524205384643428,-0.5266638403912077,0.00017567941604596378,0.00013938412236338504
104000,0.21013186621109178,0.6156249815164004,1.352422093644439,-0.5266652459169469,0.0001741242215739629,0.00013805821989232905
105000,0.21013186621284446,0.6156251283794898,1.3524236204725748,-0.5266666258802406,0.00017259737945921118,0.00013675742519016134
106000,0.21013186621454774,0.6156252724039115,1.352425119727304,-0.5266679811088448,0.0001710981111331533,0.0001354810305579546
107000,0.21013186621620353,0.615625413808257,1.3524265921587415,-0.526669312134281,0.000169625666466843,0.00013422835466934418
108000,0.2101318662178135,0.6156255526470025,1.3524280384898555,-0.5266706196250395,0.00016817932247883817,0.00013299874135272913
109000,0.21013186621937938,0.6156256889071207,1.3524294594176896,-0.5266719042911895,0.0001667583821131007,0.0001317915584403614
110000,0.21013186622090274,0.6156258227392768,1.3524308556145186,-0.526673166654339,0.00016536217308250645,0.00013060619668007434
111000,0.2101318662223851,0.61562595420402,1.3524322277289442,-0.5266744073025391,0.0001639900467738843,0.00012944206870570818
112000,0.21013186622382796,0.6156260832828253,1.352433576386932,-0.5266756268802787,0.00016264137721079156,0.00012829860806257053
113000,0.2101318662252327,0.6156262101205143,1.3524349021927937,-0.5266768258470467,0.0001613155600704977,0.00012717526828452975
114000,0.2101318662266006,0.6156263347811107,1.3524362057301205,-0.5266780047224091,0.00016001201175189293,0.00012607152201957596
115000,0.21013186622793298,0.615626457249408,1.3524374875626664,-0.5266791640853253,0.0001587301684912646,0.00012498686020090573
116000,0.21013186622923105,0.6156265776477324,1.3524387482351876,-0.5266803043582241,0.00015746948552309157,0.00012392079126078817
117000,0.21013186623049598,0.6156266960366122,1.3524399882742393,-0.5266814260071311,0.00015622943628320046,0.00012287284038465802
118000,0.2101318662317289,0.6156268123674011,1.352441208188933,-0.526682529589803,0.00015500951165180416,0.00012184254880305361
119000,0.21013186623293084,0.6156269267975075,1.3524424084716549,-0.5266836154412164,0.0001538092192341092,0.0001208294731191777
120000,0.21013186623410288,0.6156270393407952,1.3524435895987514,-0.5266846840238534,0.00015262808267632976,0.00011983318467000764
121000,0.21013186623524596,0.6156271500046002,1.352444752031178,-0.5266857357913318,0.000151465641015088,0.0001188532689190169
122000,0.21013186623636107,0.6156272588865038,1.3524458962151196,-0.5266867710922547,0.000150321448058311,0.00011788932487869833
123000,0.2101318662374491,0.6156273660224378,1.3524470225825793,-0.5266877903226924,0.00014919507179585601,0.00011694096456119573
124000,0.21013186623851088,0.6156274714192969,1.3524481315519403,-0.5266887938941326,0.00014808609383820909,0.00011600781245546036
125000,0.2101318662395473,0.6156275751410627,1.3524492235284995,-0.5266897821478895,0.0001469941088817051,0.00011508950502944969
126000,0.21013186624055913,0.6156276772759054,1.3524502989049785,-0.526690755388514,0.00014591872419881721,0.00011418569025597963
127000,0.21013186624154714,0.6156277777410057,1.3524513580620086,-0.5266917140794557,0.00014485955915215131,0.00011329602716092911
128000,0.21013186624251212,0.6156278766937963,1.352452401368595,-0.5266926584322866,0.0001438162447308676,0.0001124201853925769
129000,0.21013186624345473,0.6156279741438937,1.3524534291825587,-0.5266935887952103,0.00014278842310832794,0.00011155784481092597
130000,0.2101318662443757,0.6156280700623711,1.3524544418509594,-0.5266945055442127,0.00014177574721984236,0.00011070869509594154
131000,0.2101318662452756,0.6156281645300529,1.3524554397104978,-0.5266954089351693,0.0001407778803594542,0.00010987243537369328
132000,0.21013186624615515,0.6156282576186295,1.3524564230879015,-0.5266962992231168,0.00013979449579476898,0.0001090487738594551
133000,0.21013186624701496,0.6156283492793088,1.3524573923002925,-0.5266971767739688,0.00013882527639888902,0.00010823742751687057
134000,0.21013186624785557,0.6156284395805118,1.3524583476555396,-0.5266980418271723,0.0001378699142985733,0.00010743812173234702
135000,0.21013186624867758,0.6156285285919214,1.3524592894525946,-0.5266988946119957,0.00013692811053779173,0.00010665059000388999
136000,0.21013186624948152,0.6156286162708385,1.3524602179818137,-0.5266997354614936,0.00013599957475589255,0.00010587457364363605
137000,0.21013186625026792,0.6156287026829483,1.3524611335252663,-0.5267005645920501,0.00013508402487964654,0.0001051098214933853
138000,0.21013186625103727,0.6156287878733494,1.3524620363570288,-0.5267013822326421,0.0001341811868284726,0.00010435608965247585
139000,0.2101318662517901,0.615628871813924,1.3524629267434676,-0.5267021886777534,0.00013329079423219108,0.0001036131412173792
140000,0.21013186625252683,0.6156289545793083,1.3524638049435094,-0.5267029841116742,0.00013241258816068584,0.00010288074603243229
141000,0.21013186625324795,0.6156290362025936,1.3524646712088997,-0.5267037687530581,0.00013154631686489252,0.00010215868045115368
142000,0.21013186625395391,0.6156291166249606,1.3524655257844511,-0.5267045429055366,0.0001306917355285615,0.00010144672710762372
143000,0.21013186625464508,0.615629195971868,1.3524663689082819,-0.5267053066817687,0.0001298486060302758,0.00010074467469743647
144000,0.21013186625532193,0.6156292742344397,1.3524672008120437,-0.5267060603222822,0.0001290166967152317,0.00010005231776775915
145000,0.2101318662559848,0.6156293514049325,1.3524680217211407,-0.5267068040602234,0.00012819578217631713,9.936945651606047e-05
146000,0.2101318662566341,0.6156294275426031,1.3524688318549392,-0.526707538055702,0.00012738564304404842,9.869589659709247e-05
147000,0.2101318662572702,0.615629502669762,1.3524696314269697,-0.5267082624999375,0.0001265860657849484,9.80314489377341e-05
148000,0.21013186625789346,0.6156295767435114,1.3524704206451208,-0.5267089776437159,0.000125796842507973,9.737592955932508e-05
149000,0.2101318662585042,0.615629649871611,1.3524711997118242,-0.526709683581709,0.00012501777077861216,9.672915940713887e-05
150000,0.21013186625910277,0.6156297220287217,1.3524719688242337,-0.5267103805364093,0.00012424865344031288,9.609096418666226e-05
151000,0.2101318662596895,0.6156297932052908,1.3524727281743971,-0.5267110687094169,0.00012348929844288828,9.546117420636655e-05
152000,0.21013186626026467,0.6156298634739161,1.3524734779494207,-0.5267117482152399,0.00012273951867759628,9.483962422667203e-05
153000,0.2101318662608286,0.615629932832288,1.352474218331628,-0.5267124192385115,0.00012199913181858629,9.42261533148227e-05
154000,0.21013186626138158,0.6156300012730779,1.3524749494987123,-0.5267130819642528,0.00012126796017042826,9.362060470540346e-05
155000,0.2101318662619239,0.6156300688335049,1.3524756716238828,-0.526713736528454,0.00012054583052145348,9.302282566624495e-05
156000,0.2101318662624558,0.6156301355718642,1.3524763848760066,-0.5267143830416866,0.00011983257400264935,9.243266736947517e-05
157000,0.2101318662629776,0.615630201435108,1.3524770894197438,-0.5267150217216581,0.00011912802595186418,9.184998476748851e-05
