n,F(n),|F(n) - F(Nmax)|,log10_error
27807,-0.6690313445143338,0.00043755262476974366,-3.35896970658982
28430,-0.6690417316854976,0.0004271654536058822,-3.369403877503386
29068,-0.6690519325856716,0.00041696455343187555,-3.379900863259481
29719,-0.6690619133796333,0.00040698375947023635,-3.390422920782605
30385,-0.6690717042952624,0.00039719284384109876,-3.400998584719253
31067,-0.6690813186487734,0.0003875784903301094,-3.411640333247053
31763,-0.6690907266432965,0.00037817049580701756,-3.4223123570563834
32475,-0.6690999546546175,0.0003689424844860456,-3.4330413319906192
33203,-0.6691090029372645,0.0003598942018390172,-3.443825150095086
33947,-0.6691178695490088,0.0003510275900947546,-3.4546587474800314
34708,-0.6691265653442773,0.0003423317948262339,-3.4655527629236844
35486,-0.6691350899764736,0.0003338071626298733,-3.4765043487314995
36282,-0.66914345258313,0.00032544455597349753,-3.4875229889260444
37095,-0.669151642880395,0.0003172542587085436,-3.498592539379178
37927,-0.6691596795100696,0.0003092176290339088,-3.509735754165429
38777,-0.6691675522051478,0.00030134493395572726,-3.520936105253201
39646,-0.6691752689569037,0.000293628182199801,-3.5322022635159125
40535,-0.6691828389172124,0.00028605822189109453,-3.5435455652183
41443,-0.6691902522039511,0.0002786449351523945,-3.554948846579996
42372,-0.6691975241928119,0.0002713729462916481,-3.566433450198342
43322,-0.6692046551085868,0.0002642420305166704,-3.577998102052045
44293,-0.6692116432633032,0.000257253875800334,-3.589638073412884
45286,-0.6692184951992584,0.00025040193984515735,-3.6013623110016066
46301,-0.6692252106206678,0.0002436865184357595,-3.6131684967935787
47339,-0.6692317952358093,0.00023710190329417902,-3.625064959784605
48401,-0.669238254075376,0.0002306430637275536,-3.6370596016676577
49485,-0.669244575121847,0.00022432201725652856,-3.649128098223779
50595,-0.6692507811845949,0.000218115954508602,-3.6613125659590104
51729,-0.6692568600336248,0.0002120371054786796,-3.67358813296484
52889,-0.669262821936275,0.0002060752028285595,-3.685974264031726
54074,-0.6692686609289057,0.0002002362101978239,-3.6984573830649756
55286,-0.6692743868342726,0.00019451030483086384,-3.7110573855329716
56526,-0.6692800034261284,0.00018889371297514668,-3.7237824966342266
57793,-0.6692855059038392,0.00018339123526434076,-3.7366214242128426
59088,-0.6692908976204552,0.00017799951864827523,-3.749581172121896
60413,-0.6692961870864559,0.00017271005264762884,-3.7626823834381318
61767,-0.6693013689998696,0.00016752813923393006,-3.7759122352681884
63152,-0.6693064508196208,0.00016244631948270083,-3.789290123940181
64567,-0.669311428620127,0.00015746851897646685,-3.802806257121156
66015,-0.6693163121233743,0.0001525850157292341,-3.816488113207023
67494,-0.6693210943009231,0.00014780283818038864,-3.830317226331945
69007,-0.6693257847108824,0.0001431124282210705,-3.8443226494445715
70554,-0.6693303823322106,0.00013851480689286433,-3.858503799103881
72136,-0.6693348899563153,0.00013400718278822055,-3.8728719228166386
73753,-0.6693393070128844,0.000129590126219159,-3.887428087137432
75406,-0.6693436358318092,0.00012526130729428875,-3.9021830600805587
77096,-0.6693478789192462,0.0001210182198573273,-3.9171492397016063
78825,-0.6693520405280797,0.00011685661102378564,-3.9323467128829406
80592,-0.6693561177901235,0.00011277934898001885,-3.947770416709906
82398,-0.6693601129964081,0.00010878414269543946,-3.9634344064924263
84245,-0.6693640301836568,0.0001048669554467585,-3.9793613404810815
86134,-0.6693678707192935,0.00010102641981002414,-3.9955650373334617
88065,-0.6693716344078355,9.726273126797746e-05,-4.0120535390249215
90039,-0.6693753229165726,9.357422253086778e-05,-4.028843772570011
92057,-0.6693789377699647,8.995936913880342e-05,-4.045953598817744
94121,-0.66938248217268,8.64149664234759e-05,-4.063411034462824
96230,-0.6693859540263225,8.294311278100874e-05,-4.081219669981791
98388,-0.6693893597414367,7.95373976668623e-05,-4.0994286225203975
100593,-0.6693926957653382,7.620137376529446e-05,-4.118037199089417
102848,-0.6693959662917142,7.293084738935196e-05,-4.137088740305347
105153,-0.6693991710988871,6.972604021637796e-05,-4.156604997938741
107511,-0.6694023139270464,6.658321205710305e-05,-4.176635257767109
109921,-0.6694053931835703,6.35039555332284e-05,-4.197199222538705
112385,-0.6694084111995051,6.04859395983981e-05,-4.218345568562533
114904,-0.6694113688864398,5.7528252663696655e-05,-4.2401188168321235
117480,-0.6694142682936609,5.462884544260582e-05,-4.262577978017432
