n,F(n),|F(n) - F(Nmax)|,log10_error
26601,-0.5262767587973082,0.0004599154089109936,-3.3373220396694685
27197,-0.5262875934843841,0.0004490807218350268,-3.3476755879574855
27807,-0.5262982255856964,0.00043844862052278,-3.358081291991916
28430,-0.526308637872642,0.0004280363335771309,-3.368519364626263
29068,-0.5263188634008507,0.00041781080536851256,-3.379020332543268
29719,-0.5263288682513083,0.0004078059549108559,-3.3895464368069157
30385,-0.5263386823193645,0.0003979918868546317,-3.400125781017211
31067,-0.5263483190826828,0.0003883551235364102,-3.4107709608611585
31763,-0.5263577490214374,0.0003789251847817754,-3.4214465289338545
32475,-0.526366998264397,0.00036967594182213404,-3.4321788120015984
33203,-0.5263760675259836,0.0003606066802355201,-3.4429662322377106
33947,-0.526384954777833,0.00035171942838618797,-3.4538036413280135
34708,-0.5263936707588006,0.00034300344741855504,-3.4647015149795872
35486,-0.5264022150852197,0.00033445912099949737,-3.475656955950732
36282,-0.526410596742443,0.0003260774637762198,-3.4866792155940436
37095,-0.5264188055859365,0.000317868620282713,-3.4977523431475532
37927,-0.5264268604460467,0.00030981376017247264,-3.5088992972473627
38777,-0.5264347506897409,0.0003019235164782863,-3.5201030589576883
39646,-0.5264424846019508,0.00029418960426841334,-3.531372677932867
40535,-0.5264500712690724,0.00028660293714677376,-3.542719363205596
41443,-0.5264575007006791,0.0002791735055400757,-3.5541258000307026
42372,-0.5264647886061724,0.00027188560004676177,-3.565613793463767
43322,-0.5264719352993497,0.0002647389068695105,-3.5771822287135575
44293,-0.526478938645508,0.00025773556071118087,-3.5888256561282983
45286,-0.5264858053943078,0.00025086881191138666,-3.600553326954416
46301,-0.5264925351357667,0.00024413907045250927,-3.612362713314781
47339,-0.5264991336167612,0.00023754058945801848,-3.6242621701591458
48401,-0.5265056059806608,0.00023106822555840623,-3.6362597707190556
49485,-0.5265119401979984,0.00022473400822076162,-3.648331202324775
50595,-0.5265181592203968,0.00021851498582237117,-3.6605187736281666
51729,-0.5265242506294463,0.00021242357677286883,-3.67279728281603
52889,-0.5265302248351761,0.00020644937104308259,-3.6851864358841433
54074,-0.5265360758082916,0.00020059839792752054,-3.6976725397802856
55286,-0.5265418133776826,0.0001948608285365916,-3.710275455188107
56526,-0.5265474413309637,0.00018923287525551835,-3.7230034117937465
57793,-0.5265529550186863,0.00018371918753290473,-3.7358454838439052
59088,-0.5265583577306566,0.00017831647556254548,-3.748808528303418
60413,-0.5265636579608006,0.00017301624541854466,-3.7619131167302213
61767,-0.5265688502687244,0.0001678239374948154,-3.7751460936833334
63152,-0.5265739421686457,0.00016273203757344312,-3.7885269377106594
64567,-0.526578929773266,0.000157744432953133,-3.8020459587424473
66015,-0.5265838227878781,0.0001528514183410934,-3.8157305270075526
67494,-0.5265886142280423,0.00014805997817690653,-3.8295623189660404
69007,-0.5265933137007474,0.00014336050547181234,-3.8435704764094063
70554,-0.5265979200627328,0.00013875414348640813,-3.857754039077976
72136,-0.5266024362516636,0.00013423795455558274,-3.872124674006371
73753,-0.5266068617082815,0.0001298124979376425,-3.8866834930205503
75406,-0.5266111986990056,0.00012547550721353495,-3.9014410400803015
77096,-0.5266154497566236,0.00012122444959561385,-3.916409779067504
78825,-0.5266196191473653,0.00011705505885384326,-3.931609812340421
80592,-0.5266237039695272,0.00011297023669198936,-3.9470359613222414
82398,-0.5266277065981098,0.00010896760810941153,-3.9627025819677772
84245,-0.5266316310301908,0.00010504317602832991,-3.97863215562835
86134,-0.5266354786010105,0.00010119560520871484,-3.9948383479215988
88065,-0.5266392491322065,9.74250740126692e-05,-4.011329255606798
90039,-0.5266429442667198,9.372993949940955e-05,-4.028121663301069
92057,-0.5266465656219617,9.01085842575089e-05,-4.0452338336815155
94121,-0.5266501163936675,8.65578125516242e-05,-4.062693727384952
96230,-0.5266535944867097,8.307971950949344e-05,-4.080504978382543
98388,-0.526657006280387,7.966792583213866e-05,-4.098716489617197
100593,-0.5266603482038196,7.632600239959597e-05,-4.117327483344341
102848,-0.5266636244954436,7.304971077559674e-05,-4.136381499220595
105153,-0.5266668349014793,6.983930473991595e-05,-4.155900092743508
107511,-0.5266699831912658,6.669101495337948e-05,-4.175932673115191
109921,-0.5266730677528405,6.360645337866178e-05,-4.196498819499994
112385,-0.5266760909339268,6.058327229241378e-05,-4.217647272763518
114904,-0.5266790536500355,5.762055618363515e-05,-4.239422553998717
117480,-0.5266819579533075,5.471625291164628e-05,-4.2618836517030685
120113,-0.5266848037801979,5.187042602128322e-05,-4.285080185051862
122806,-0.526687593857989,4.9080348230146065e-05,-4.3090923645698425
125558,-0.526690327076065,4.634713015416736e-05,-4.333977152496742
128373,-0.5266930070912308,4.3667114988377165e-05,-4.359845500224688
131251,-0.526695633632956,4.104057326315136e-05,-4.386786581539405
134193,-0.5266982073777772,3.846682844199645e-05,-4.414913619435861
137201,-0.5267007298809238,3.5944325295411694e-05,-4.444369664041032
140276,-0.5267032017638219,3.3472442397264324e-05,-4.475312597144625
143421,-0.5267056252011166,3.104900510253472e-05,-4.507952311281335
146636,-0.5267079999124927,2.867429372643837e-05,-4.542507270357402
149923,-0.5267103272230379,2.6346983181269046e-05,-4.579269105792435
153284,-0.5267126083264488,2.40658797703297e-05,-4.618598257301992
156720,-0.5267148436694344,2.183053678472824e-05,-4.660935585418698
160233,-0.526717034426724,1.9639779495150833e-05,-4.706863392545852
163825,-0.5267191815781693,1.7492628049842196e-05,-4.757144938274114
167497,-0.5267212855407617,1.5388665457471973e-05,-4.812799041610142
171252,-0.5267233478369513,1.3326369267874227e-05,-4.875288156790665
175090,-0.5267253683623254,1.1305843893749667e-05,-4.946697015386705
179015,-0.5267273490248163,9.325181402841665e-06,-5.0303427111024535
183028,-0.5267292901063149,7.384099904306218e-06,-5.131702436088943
187131,-0.526731192428743,5.4817774761684035e-06,-5.261078597916115
191326,-0.52673305674305,3.617463169125479e-06,-5.441595881916457
195615,-0.526734883770271,1.7904359481679677e-06,-5.747041211013305
200000,-0.5267366742062192,0.0,-300.0
